"_id","_labels","ark","controle","degre","edition","etab","initId","issn","latitude","longitude","name","number","ppn","rcr","titre","url","_start","_end","_type","etat_de_collection"
"0",":Dpt","","","2278","","","0","","","","Bouches-du-Rhône","13","","","","",,,,
"1",":Dpt","","","520","","","1","","","","Vaucluse","84","","","","",,,,
"2",":Dpt","","","270","","","2","","","","Alpes-de-Haute-Provence","04","","","","",,,,
"3",":Dpt","","","3","","","3","","","","Hautes-Alpes","05","","","","",,,,
"4",":Dpt","","","105","","","4","","","","Guadeloupe","971","","","","",,,,
"5",":Dpt","","","104","","","5","","","","Martinique","972","","","","",,,,
"6",":Dpt","","","44","","","6","","","","Guyanne","973","","","","",,,,
"7",":Dpt","","","158","","","7","","","","La Réunion","974","","","","",,,,
"8",":Dpt","","","1","","","8","","","","Saint-Pierre-et-Miquelon","975","","","","",,,,
"9",":Dpt","","","143","","","9","","","","Mayotte","976","","","","",,,,
"10",":Dpt","","","0","","","10","","","","Saint-Barthélemy","977","","","","",,,,
"11",":Dpt","","","0","","","11","","","","Saint-Martin","978","","","","",,,,
"12",":Dpt","","","0","","","12","","","","Wallis-et-Futuna","986","","","","",,,,
"13",":Dpt","","","1","","","13","","","","Polynésie française","987","","","","",,,,
"14",":Dpt","","","1","","","14","","","","Nouvelle-Calédonie","988","","","","",,,,
"15",":Bib","","","2","","","15","","44.083544","6.003544","CHATEAU-ARNOUX-Méd.L.Joseph","","","040496201","","",,,,
"16",":Bib","","","252","","","16","","44.0902264","6.2388794","DIGNE-Archives Départementales","","","040705101","","",,,,
"17",":Bib","","","20","","","17","","44.0917015","6.2339126","DIGNE-LES-BAINS-BM","","","040706201","","",,,,
"18",":Bib","","","3","","","18","","43.835744","5.790916","MANOSQUE-BM","","","041126201","","",,,,
"19",":Bib","","","6","","","19","","44.1959214","5.9426999","SISTERON-BM","","","042096201","","",,,,
"20",":Bib","","","3","","","20","","44.927590","6.631149","BRIANCON-BM","","","050236201","","",,,,
"21",":Bib","","","59","","","21","","44.5613307","6.0955201","GAP-Archives Départementales","","","050615101","","",,,,
"22",":Bib","","","12","","","22","","44.555307","6.0779951","GAP-BM","","","050616201","","",,,,
"23",":Bib","","","6","","","23","","43.519271","5.4467564","AIX-MARSEILLE3-Inst. Assurances","","","130012217","","",,,,
"24",":Bib","","","4","","","24","","43.519225","5.447606","AIX-EN-PROVENCE-Europe Asie","","","130012237","","",,,,
