"m","r","u"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":0,""type"":""LOCATED"",""start"":3,""end"":0,""properties"":{}}","{""id"":3,""labels"":[""Bib""],""properties"":{""rcr"":""060042301"",""latitude"":""43.5661292"",""name"":""ANTIBES-INRA-Lab.Protec.Végé"",""longitude"":""7.1249398""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":1,""type"":""LOCATED"",""start"":4,""end"":0,""properties"":{}}","{""id"":4,""labels"":[""Bib""],""properties"":{""rcr"":""060042302"",""latitude"":""43.56554329999999"",""name"":""ANTIBES-Groupe rég.Phytosan."",""longitude"":""7.126048""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":2,""type"":""LOCATED"",""start"":5,""end"":0,""properties"":{}}","{""id"":5,""labels"":[""Bib""],""properties"":{""rcr"":""060042304"",""latitude"":""43.5654347"",""name"":""ANTIBES-INRA-IPMSV"",""longitude"":""7.124600999999999""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":3,""type"":""LOCATED"",""start"":6,""end"":0,""properties"":{}}","{""id"":6,""labels"":[""Bib""],""properties"":{""rcr"":""060042306"",""latitude"":""43.5661292"",""name"":""ANTIBES-INRA-UMR R.O.S.E."",""longitude"":""7.1249398""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":4,""type"":""LOCATED"",""start"":7,""end"":0,""properties"":{}}","{""id"":7,""labels"":[""Bib""],""properties"":{""rcr"":""060046201"",""latitude"":""43.58041799999999"",""name"":""ANTIBES-Mediath.A.Camus"",""longitude"":""7.125102""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":5,""type"":""LOCATED"",""start"":8,""end"":0,""properties"":{}}","{""id"":8,""labels"":[""Bib""],""properties"":{""rcr"":""060182301"",""latitude"":""43.6156756"",""name"":""ANTIBES-INRA-Horticulture"",""longitude"":""7.084510099999999""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":6,""type"":""LOCATED"",""start"":9,""end"":0,""properties"":{}}","{""id"":9,""labels"":[""Bib""],""properties"":{""rcr"":""060185201"",""latitude"":""46.0007702"",""name"":""SOPHIA ANTIPOLIS-ANSES"",""longitude"":""6.2518531""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":7,""type"":""LOCATED"",""start"":10,""end"":0,""properties"":{}}","{""id"":10,""labels"":[""Bib""],""properties"":{""rcr"":""060295401"",""latitude"":""43.5378619"",""name"":""CANNES-Thales Alenia Space"",""longitude"":""6.9550833""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":8,""type"":""LOCATED"",""start"":11,""end"":0,""properties"":{}}","{""id"":11,""labels"":[""Bib""],""properties"":{""rcr"":""060296201"",""latitude"":""43.5508621"",""name"":""CANNES-Médiathèque municipal"",""longitude"":""7.0033444""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":9,""type"":""LOCATED"",""start"":12,""end"":0,""properties"":{}}","{""id"":12,""labels"":[""Bib""],""properties"":{""rcr"":""060335101"",""latitude"":""43.8176926"",""name"":""CARROS-Centre de doc. CIAC"",""longitude"":""7.11440390000007""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":10,""type"":""LOCATED"",""start"":13,""end"":0,""properties"":{}}","{""id"":13,""labels"":[""Bib""],""properties"":{""rcr"":""060692301"",""latitude"":""43.65761759999999"",""name"":""GRASSE-Musée Art/Hist Provence"",""longitude"":""6.9224541""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":11,""type"":""LOCATED"",""start"":14,""end"":0,""properties"":{}}","{""id"":14,""labels"":[""Bib""],""properties"":{""rcr"":""060695201"",""latitude"":""43.6582879"",""name"":""GRASSE-Musée Intern Parfumerie"",""longitude"":""6.9219354""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":12,""type"":""LOCATED"",""start"":15,""end"":0,""properties"":{}}","{""id"":15,""labels"":[""Bib""],""properties"":{""rcr"":""060696201"",""latitude"":""43.65711599999999"",""name"":""GRASSE-Villa St Hilaire"",""longitude"":""6.9183745""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":13,""type"":""LOCATED"",""start"":16,""end"":0,""properties"":{}}","{""id"":16,""labels"":[""Bib""],""properties"":{""rcr"":""060836201"",""latitude"":""43.7745983"",""name"":""MENTON-BM"",""longitude"":""7.496912""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":14,""type"":""LOCATED"",""start"":17,""end"":0,""properties"":{}}","{""id"":17,""labels"":[""Bib""],""properties"":{""rcr"":""060845301"",""latitude"":""43.6188186"",""name"":""MOUANS SARTOUX-CRD Occitane"",""longitude"":""6.972011600000001""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":15,""type"":""LOCATED"",""start"":18,""end"":0,""properties"":{}}","{""id"":18,""labels"":[""Bib""],""properties"":{""rcr"":""060882230"",""latitude"":""43.7253968"",""name"":""NICE-UFR Méd.-Pharmacologie"",""longitude"":""7.278594000000001""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":16,""type"":""LOCATED"",""start"":19,""end"":0,""properties"":{}}","{""id"":19,""labels"":[""Bib""],""properties"":{""rcr"":""060882301"",""latitude"":""43.663739"",""name"":""NICE-C.Et.Biol.Océanographique"",""longitude"":""7.14882""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":17,""type"":""LOCATED"",""start"":20,""end"":0,""properties"":{}}","{""id"":20,""labels"":[""Bib""],""properties"":{""rcr"":""060882302"",""latitude"":""43.709397"",""name"":""NICE-Musée Nat.Marc Chagall"",""longitude"":""7.270028""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":18,""type"":""LOCATED"",""start"":21,""end"":0,""properties"":{}}","{""id"":21,""labels"":[""Bib""],""properties"":{""rcr"":""060882303"",""latitude"":""43.7017477"",""name"":""NICE-Museum Hist.Naturelle"",""longitude"":""7.279483399999999""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":19,""type"":""LOCATED"",""start"":22,""end"":0,""properties"":{}}","{""id"":22,""labels"":[""Bib""],""properties"":{""rcr"":""060882305"",""latitude"":""43.6952058"",""name"":""NICE-Institut européen"",""longitude"":""7.2571100000000115""}}"
"{""id"":0,""labels"":[""Dpt""],""properties"":{""number"":""06"",""name"":""Alpes-Maritimes""}}","{""id"":20,""type"":""LOCATED"",""start"":23,""end"":0,""properties"":{}}","{""id"":23,""labels"":[""Bib""],""properties"":{""rcr"":""060882306"",""latitude"":""43.7090597"",""name"":""NICE-CEPAM"",""longitude"":""7.288295""}}"
